,Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
0,Advertising & Marketing Services,17.0,0.1,10.05,7.0,11.3,12750000000.0,40.71,-74.01
1,Advertising Agencies,15.5,0.0,8.0,7.5,-5.78,7335000000.0,48.87,2.31
2,Aerospace & Defense,33.4,8.95,16.25,8.16,34.88,59824000000.0,41.79,-62.65
3,Agriculture,42.17,19.8,13.95,8.63,16.46,10925000000.0,39.37,-86.65
4,Airlines,29.75,10.05,13.72,5.9,6.96,24375000000.0,35.29,-91.54
5,Airports & Air Services,18.0,2.0,9.0,6.0,6.4,16900000000.0,48.98,2.56
6,Apparel Manufacturing,13.0,1.5,6.0,6.0,-3.38,6260000000.0,39.65,-78.98
7,Application Software,18.71,1.01,11.26,6.43,32.59,77386578947.37,39.05,-97.19
8,Asset Management,23.83,1.98,11.01,10.97,19.86,22025000000.0,41.46,-67.23
9,Auto Parts,14.5,3.0,4.5,7.0,24.48,12750000000.0,47.32,2.72
10,Autos,23.6,6.15,9.88,7.6,31.41,21022000000.0,42.43,-69.87
11,Banks,26.56,1.89,13.02,11.53,24.63,55943750000.0,38.21,-76.39
12,Banksâ€”Diversified,33.0,2.0,17.0,13.0,-5.85,61700000000.0,40.41,-3.89
13,Banks—Diversified,86.0,90.0,85.0,84.0,-21.03,14900000000.0,52.37,4.89
14,Banks—Regional,31.33,2.0,14.33,15.33,27.48,40400000000.0,48.86,2.35
15,Beverages - Alcoholic,21.0,6.5,8.6,6.1,6.98,24400000000.0,41.36,-91.2
16,Beverages - Non-Alcoholic,37.75,27.18,23.65,22.25,17.34,147750000000.0,32.02,-93.7
17,Beveragesâ€”Wineries & Distilleries,20.0,6.0,8.0,6.0,0.03,32200000000.0,38.25,-85.76
18,Beverages—Brewers,18.0,5.0,8.0,6.0,22.95,56300000000.0,52.37,4.89
19,Beverages—Wineries & Distilleries,16.0,3.5,6.0,6.0,15.25,62700000000.0,41.32,-41.02
20,Biotechnology,26.0,0.15,17.67,8.43,10.78,45657272727.27,41.46,-76.77
21,Broadcasting,15.5,2.0,5.5,8.0,-1.93,17435000000.0,41.32,-41.02
22,Brokers & Exchanges,23.33,1.41,10.91,10.96,25.92,38681333333.33,39.44,-83.48
23,Building Materials,28.38,15.01,5.64,7.54,47.43,18685000000.0,40.79,-77.51
24,Business Services,19.53,1.42,11.19,6.95,36.4,34197333333.33,38.92,-79.3
25,Chemicals,30.0,14.46,7.65,7.97,17.22,23178000000.0,38.24,-77.59
26,Communication Equipment,18.29,2.03,9.01,7.2,17.86,41741428571.43,41.97,-91.29
27,Communication Services,21.31,3.38,10.62,7.35,24.16,85469230769.23,40.42,-86.8
28,Computer Hardware,17.72,3.25,7.88,6.64,30.44,95417222222.22,40.37,-83.05
29,Conglomerates,28.67,5.87,13.4,9.5,17.33,85186666666.67,41.47,-81.39
30,Consulting & Outsourcing,21.5,9.4,5.75,6.5,59.45,11350000000.0,47.2,-39.9
31,Consulting Services,16.0,0.0,10.0,7.0,30.67,11200000000.0,48.88,2.27
32,Consumer Packaged Goods,29.04,11.8,12.86,8.67,24.39,38752748043.48,39.98,-85.33
33,Credit Services,21.22,0.12,12.11,9.0,30.6,126264444444.44,39.85,-87.71
34,Discount Stores,16.0,3.0,8.0,6.0,37.45,14400000000.0,45.51,-73.65
35,Drug Manufacturers,31.25,2.16,17.32,11.7,13.81,131623333333.33,44.04,-61.14
36,Drug Manufacturers—Specialty & Generic,30.0,1.0,18.0,11.0,-30.0,5490000000.0,48.84,2.24
37,Education,15.5,0.2,9.45,5.65,100.94,24150000000.0,39.9,116.41
38,Employment Services,12.0,0.05,8.2,3.95,30.12,6290000000.0,40.25,-105.04
39,Engineering & Construction,36.57,13.99,20.27,17.97,19.5,8132857142.86,38.94,-68.05
40,Entertainment,17.43,0.54,7.71,9.19,24.36,75811428571.43,39.27,-85.36
41,Farm & Construction Machinery,24.0,4.67,12.4,6.87,17.27,46266666666.67,39.16,-87.58
42,Financial Conglomerates,14.0,0.0,4.0,10.0,23.1,6550000000.0,40.71,-74.01
43,Food Distribution,17.0,3.0,7.0,7.0,41.88,9740000000.0,33.79,-84.39
44,Footwear & Accessories,12.0,1.0,5.0,7.0,42.18,70200000000.0,48.86,2.35
45,Forest Products,19.0,10.9,3.8,4.8,38.15,22400000000.0,47.61,-122.33
46,"Furnishings, Fixtures & Appliances",15.0,5.0,3.0,7.0,17.38,5970000000.0,45.77,4.78
47,Gold,33.0,14.0,12.0,6.0,30.87,43300000000.0,43.65,-79.38
48,Grocery Stores,18.5,4.0,8.75,5.75,7.3,13610000000.0,48.03,-15.52
49,Health Care Plans,23.6,0.64,16.58,6.28,16.68,101340000000.0,40.72,-85.41
50,Health Care Providers,27.67,2.3,16.17,9.3,29.22,23866666666.67,38.67,-89.05
51,Homebuilding & Construction,21.4,7.42,8.5,5.54,44.05,15232000000.0,34.28,-82.83
52,Industrial Distribution,19.0,4.85,7.0,7.12,17.6,12027500000.0,40.21,-84.33
53,Industrial Products,29.26,9.35,12.53,7.33,30.76,29179629629.63,40.28,-84.35
54,Information Technology Services,16.33,0.67,9.0,6.33,30.77,18316666666.67,47.76,-23.0
55,Insurance,27.25,1.7,10.88,14.52,30.57,20257500000.0,41.27,-77.08
56,Insurance - Life,22.0,1.37,9.34,11.49,19.57,27737142857.14,39.18,-80.98
57,Insurance - Property & Casualty,27.64,1.99,10.29,15.46,21.57,25756363636.36,41.01,-73.59
58,Insurance - Specialty,29.0,2.47,10.23,16.4,35.71,10403333333.33,34.26,-85.54
59,Insuranceâ€”Diversified,13.0,1.0,1.0,12.0,0.33,557000000000.0,41.26,-95.93
60,Insuranceâ€”Property & Casualty,34.0,2.0,13.0,19.0,1.46,16300000000.0,43.65,-79.38
61,Insurance—Diversified,17.0,1.0,8.0,8.0,15.16,34600000000.0,46.39,-34.85
62,Insurance—Life,15.0,0.5,5.5,9.0,16.05,12050000000.0,47.18,-35.61
63,Insurance—Reinsurance,17.0,1.0,8.0,9.0,44.76,39100000000.0,48.14,11.58
64,Lodging,19.0,7.0,7.0,5.0,12.5,10100000000.0,48.82,2.27
65,Luxury Goods,11.0,1.0,4.0,6.0,44.88,116333333333.33,48.86,2.35
66,Manufacturing - Apparel & Furniture,17.8,4.04,7.11,6.72,27.99,24813000000.0,40.13,-87.33
67,Medical Devices,30.71,3.56,16.23,10.89,33.14,65357142857.14,41.09,-87.32
68,Medical Diagnostics & Research,24.8,2.48,13.58,8.71,36.03,39970000000.0,40.17,-75.52
69,Medical Distribution,17.25,2.58,8.82,5.95,15.31,17725000000.0,38.45,-82.23
70,Medical Instruments & Equipment,24.17,2.7,13.15,8.53,29.62,35333333333.33,38.91,-85.77
71,Medical Instruments & Supplies,19.0,2.0,9.0,8.0,69.09,15000000000.0,43.29,5.57
