,Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
0,Consulting Services,16.0,0.0,10.0,7.0,30.67,11200000000.0,48.88,2.27
1,Advertising Agencies,15.5,0.0,8.0,7.5,-5.78,7335000000.0,48.87,2.31
2,Staffing & Employment Services,12.0,0.0,9.0,4.0,35.79,9640000000.0,52.34,4.96
3,Personal Services,15.0,0.0,10.0,5.0,14.33,8830000000.0,29.76,-95.37
4,Financial Conglomerates,14.0,0.0,4.0,10.0,23.1,6550000000.0,40.71,-74.01
5,Employment Services,12.0,0.05,8.2,3.95,30.12,6290000000.0,40.25,-105.04
6,Advertising & Marketing Services,17.0,0.1,10.05,7.0,11.3,12750000000.0,40.71,-74.01
7,Credit Services,21.22,0.12,12.11,9.0,30.6,126264444444.44,39.85,-87.71
8,Biotechnology,26.0,0.15,17.67,8.43,10.78,45657272727.27,41.46,-76.77
9,Education,15.5,0.2,9.45,5.65,100.94,24150000000.0,39.9,116.41
