,Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
0,Insuranceâ€”Diversified,13.0,1.0,1.0,12.0,0.33,557000000000.0,41.26,-95.93
1,Packaging & Containers,19.86,13.23,2.27,4.43,29.2,11655714285.71,38.71,-85.45
2,Semiconductor Equipment & Materials,13.0,4.0,3.0,6.0,92.26,113000000000.0,51.42,5.41
3,"Furnishings, Fixtures & Appliances",15.0,5.0,3.0,7.0,17.38,5970000000.0,45.77,4.78
4,REIT—Diversified,12.0,2.5,3.5,6.0,33.06,8365000000.0,48.97,4.23
5,Forest Products,19.0,10.9,3.8,4.8,38.15,22400000000.0,47.61,-122.33
6,Luxury Goods,11.0,1.0,4.0,6.0,44.88,116333333333.33,48.86,2.35
7,Financial Conglomerates,14.0,0.0,4.0,10.0,23.1,6550000000.0,40.71,-74.01
8,Auto Parts,14.5,3.0,4.5,7.0,24.48,12750000000.0,47.32,2.72
9,Footwear & Accessories,12.0,1.0,5.0,7.0,42.18,70200000000.0,48.86,2.35
